,idx,word_guesses,first_pass,solution_words,solution
0,0,araba;ile;ape;fari,AND araba S ile ape R A F fari,Andar;a;Basilea;per;affari,Andar a Basilea per affari
1,1,re;sode;testa,re CLU sode testa TO,Recuso;detestato,Recuso detestato
2,2,fa;sci;moro;sta,fa sci S moro N DI sta,Fascismo;mondosta,Fascismo mondosta
3,3,Oman;dardi;enti,D Oman dardi P AR enti,Domandar;di;parenti,Domandar di parenti
4,4,arto;dita,SC arto dita R A,Scarto;di;terra,Scarto di terra
5,5,chiesa;fate;ode;eco;sei;para,chiesa VIO fate SO R ode LL eco sei M para TE,Chi;è;savio;fa;tesoro;delle;cose;imparate,Chi è savio fa tesoro delle cose imparate
6,6,revolver;ibis;ami;arsi,PE revolver S ibis O GN ami GL IO R arsi,Per;evolversi;bogami;gloriarsi,Per evolversi bogami gloriarsi
7,7,van;da;dama;giare;alte;ami,V I van da dama N giare alte G ami N O,Vivanda;da;mangiare;al;tegaminO,Vivanda da mangiare al tegaminO
8,8,rive;Itaca,rive ND Itaca RA,Rivendita;cara,Rivendita cara
9,9,onda;redi;orsi,SFR onda redi S C orsi,Sfrondare;discorsi,Sfrondare discorsi
10,10,la;cestelli;lato,la N I cestelli L lato,L;anice;stellato,L'anice stellato
11,11,con;ratto;ila;oro,con T ratto D ila V oro,Contratto;di;lavoro,Contratto di lavoro
12,12,pedale;di;serva,OS pedale di RI serva,Ospedale;di;Riserva,Ospedale di Riserva
13,13,ore;Roma;ile,T ore Roma DR ile N O,Torero;madrileno,Torero madrileno
14,14,oliera;costo,V oliera costo MBI,Voliera;con;S;Tombi,Voliera con S Tombi
15,15,ami;ciechi,C ami ciechi C,Camicie;chic,Camicie chic
16,16,stie;duca,GE stie duca TI,Gesti;educati,Gesti educati
17,17,piramide;Pi;di,piramide Pi di,Piramide;pidi,Piramide pidi
18,18,chef;ancore,BOC chef ancore DE,Bocche;fânorde,Bocche fânorde
19,19,odi;avi;ori,PR odi avi A T ori,Prodi;aviatori,Prodi aviatori
20,20,re;re;re;bus;Cile,C re A re UN re bus F A Cile,Creare;un;rebus;facile,Creare un rebus facile
21,21,ante;edili;tino,V ante R I edili BER tino,Vanterie;di;libertino,Vanterie di libertino
22,22,Po;Po;reattore;orsi,IL Po Po LA reattore AC C orsi,Il;popolare;tortei;accordi,Il popolare tortei accordi
23,23,insegna;divi;oli,insegna NT E divi oli N O,Insegnante;di;violino,Insegnante di violino
24,24,vati;Giugi,CA vati Giugi I,Cavi;t;agugi,Cavi t agugi
25,25,elmo;odi;di;re,B elmo D odi di re,Bel;modo;di;dire,Bel modo di dire
26,26,Rodi;negri,BO Rodi negri EG,Borodine;g;ryeg,Borodine g ryeg
27,27,agli;ode;ora;ile,S B agli ode P L ora B ile,Sbaglio;deplorabile,Sbaglio deplorabile
28,28,irata;peri;ora,G irata peri N C ora,Girata;per;incora,Girata per incora
29,29,lime;orologi,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,30,raggi;un;Ermete,raggi un G Ermete,Raggiungerem;ente,Raggiungerem ente
