,idx,word_guesses,first_pass,solution_words,solution
0,0,binaria;rane;ape;fari,AND binaria S rane ape R A F fari,Andar;e;binarie;su;rane,Andare su rane binarie
1,1,graffiti;sode;testa,graffiti C L U sode testa T O,Graffiti;clustode,Graffiti clustode
2,2,fa;nuoto;moro;sta,fa nuoto S moro N D I sta,Fan;tomorista,Fantomorista
3,3,Oman;dardi;enti,D Oman dardi P AR enti,Domandardi;per;parenti,Domandardi per parenti
4,4,storta;carte,SC storta carte R A,Scarta;le;carte,Scarta le carte
5,5,chiesa;maghi;ode;Eco;sei;crepe,chiesa VIO maghi SOR ode LL Eco sei M crepe TE,Chi;è;savio;sa;dosare;le;cose;segrete,Chi è savio sa dosare le cose segrete
6,6,revolver;gatto;ami;arsi,PE revolver S gatto O GN ami GL IO R arsi,Per;evolversi;gatto;organi arsi,Per evolversi gatto organi arsi
7,7,van;i;i;orci;alte;ami,V I van i i ma N orci alte G ami N O,Viviani;in;manoriale;in;orcinate,Viviani in manoriale in orcinate
8,8,sassi;Itaca,sassi N D Itaca R A,SassiNDIT;ARA,SassiNDItacaRA
9,9,riccio;Petrarca;orsi,SFR riccio Petrarca S C orsi,Sfricciola;Petrarca,Sfricciola Petrarca
10,10,neo;ceste;neoto,neo N I ceste L neoto,N;o;niceste,Neoniceste
11,11,c'è;ratto;rana;velo,c'è T ratto D rana V velo,Cetrattod;e;ranavelo,Cetrattod e ranavelo
12,12,sella;scoscesi;serva,OS sella scoscesi RI serva,Ossessiva;è;riserva,Ossessiva è riserva
13,13,orologi;Roma;falange,T orologi Roma D R falange N O,Torolo;grifalange,Torologrifalange
14,14,olio;rischio,V olio rischio M B I,Voli;o;il;rischio,Voli o il rischio
15,15,ami;ciechi,C ami ciechi C,Camicie;c,Camicie c
16,16,nidi;duca,GE nidi duca TI,Genio;didattico,Genio didattico
17,17,campanile;caos;dì,campanile caos dì,Campana;licaos,Campanilicaos
18,18,chef;lacci,BOC chef lacci DE,Bocche;flaccide,Bocche flaccide
19,19,odi;eroi;sette,PR odi eroi A T sette,Prodi;eroi a sette,Prodi eroi a sette
20,20,re;re;re;bus;Cile,C re A re UN re bus F A Cile,Carena;re;un;refacile,Carena re un refacile
21,21,vetri;operai;tini,V vetri R I operai BER tini,Vetro;di;operai,Vetro di operai
22,22,Nilo;Po;jet;orsi,IL Nilo Po LA jet AC C orsi,Il;Nilopola;lajet;accorsi,Il Nilopola lajet accorsi
