,idx,word_guesses,first_pass,solution_words,solution
0,0,araba;ile;ape;fari,AND araba S ile ape R A F fari,Andar;a;sileape;raf;fafari,Andar a sileape raf fafari
1,1,graffiti;sode;mira,graffiti CLU sode mira TO,Graffiti;clusodemira,Graffiti clusodemira
2,2,re;polo;bruno;sta,re polo S bruno N DI sta,Repolosì;brundista,Repolosì brundista
3,3,Oman;dardi;regioni,D Oman dardi P AR regioni,Domandai;di;parenti,Domandai di parenti
4,4,arto;dita,SC arto dita R A,Scarto;di;tara,Scarto di tara
5,5,torre;fate;ode;eco;mille;para,torre VIO fate SOR ode LL eco mille M para TE,Tor;v;iofat;es;orode;lleco;mill;eparate,Tor v'iofat es orode lleco mill eparate
6,6,colt;api;ami;arsi,PE colt S api O GN ami GLIO R arsi,Pec;oltisapio;gnamiglio;rarsi,Pec oltisapio gnamiglio rarsi
7,7,van;r;r;orci;alte;ami,VI van R R ma N orci alte G ami NO,Vivrran;no;manorche;al;tegamino,Vivrran no manorche al tegamino
8,8,sponde;itaca,sponde ND itaca RA,Splendida;cara,Splendida cara
9,9,onda;petrarca;orsi,SFR onda petrarca S C orsi,Sfrondare;trascorsi,Sfrondare trascorsi
10,10,ap;ceste;ap,ap NI ceste L ap to,A;Nicol;apestato,A' Nicol apestato
11,11,uomo;ratto;rana;oro,uomo T ratto D rana V oro,Uomotratto;di;ranavo,Uomotratto di ranavo
12,12,sella;di;serva,OS sella di RI serva,Ossella di;ri;serva,Ossella di riserva
13,13,ore;roma;falange,T ore roma DR falange N O,Toreri;drangonei,Toreri drangonei
14,14,olio;rischio,V olio rischio M B I,Voliere;sco;m;binate,Voliere sco m binate
15,15,spille;ciechi,C spille ciechi C,Cospille;chic,Cospille chic
16,16,nidi;duca,GE nidi duca TI,Genio;ducati,Genio ducati
17,17,campanile;para;dì,campanile para dì,Campani;le parà,Campani le parà
18,18,chef;lacci,BOC chef lacci DE,Bocche;flaccide,Bocche flaccide
19,19,odi;reni;ori,PR odi reni A T ori,Prodi;reniatori,Prodi reniatori
20,20,re;re;re;bus;cile,C re A re UN re bus F A cile,Creare;un;rebus;facile,Creare un rebus facile
21,21,ante;operai;tini,V ante R I operai BER tini,Varioper;ai;bertinati,Varioper ai bertinati
22,22,nilo;nilo;jet;orsi,IL nilo nilo LA jet AC C orsi,Il;ninonino;lajet;taccorsi,Il ninonino lajet taccorsi
23,23,arma;star;oli,arma NT E star oli N O,Armamento e;st;arolino,Armamento e starolino
24,24,este;giri,CA este giri I,Caste;e;girii,Caste e girii
25,25,erretto;odi;dì;re,B erretto D odi dì re,Ber;etto;di;odre,Ber etto di odre
26,26,Rodi;Negri,BO Rodi Negri EG,Borodín;e;Grieg,Borodín e Grieg
27,27,agli;ode;ora;ile,S B agli ode P L ora B ile,Sbagli o;deplorabili,Sbagli o deplorabili
28,28,ira;fichi;primato,G ira fichi N C primato,Girafi;chi;ncipria,Girafi chi ncipria
29,29,lime;orologi,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,30,raggi;un;ermete,raggi un G ermete,Raggiunger;mete,Raggiunger mete
31,31,ati;sette;dita;mina,BI ati CA sette dita OR mina,Biatica;settedi;ta;ormina,Biatica settedi ta ormina
32,32,star;redo;etti,star R A redo L C etti,Straredi;colcetti,Straredi colcetti
33,33,vita;esca;ali,E vita R esca N D ali,Evitare;scandali,Evitare scandali
34,34,mesti;cane;massa,D O mesti cane G LI massa,Domestica;negliglima,Domestica negliglima
35,35,camusi;idea,P O camusi idea P,Poco;musica;idp,Poco musica idp
36,36,ebreo;fichi,CEL ebreo fichi ST A,Celebre;ofichista,Celebre ofichista
37,37,note;lido,note V O lido T I,Notevoli;doti,Notevoli doti
38,38,gilet;ore;alì;ante,A gilet ore RO D alì C ante,Agile;torode;l;alicante,Agile torode l'alicante
39,39,assi;tori,BRA assi RA tori,Bravi;assatora,Bravi assatora
40,40,dotta;viole,CON dotta viole NTA,Condotta;violenta,Condotta violenta
41,41,con;guinzaglio;mani;est,con guinzaglio mani F est I,Conguagli;manifesti,Conguagli manifesti
42,42,in;si;VA;per;stomaco,in CI si VA per O stomaco,Incisiva;perostomaco,Incisiva perostomaco
43,43,scia;erta;re;dice;Doni,scia erta re dice Doni,Sciarade;ridicole,Sciarade ridicole
44,44,gin;rami,gin OB rami E R I,Gino;bramieri,Gino bramieri
45,45,fra;secondi;versi;ori,fra secondi versi E R R ori,Frase;con;diversi;errori,Frase con diversi errori
46,46,uva;caviglia,L uva caviglia CCA,Lu;vacca;vigliacca,Lu vacca vigliacca
47,47,ossa;tutto;balsamo,F ossa tutto RO balsamo DO,Fossato;robalsa,Fossato robalsa
48,48,Cam;colt;tiara;anelli,Cam PI colt I VA tiara V anelli,Campi;coltivati;v;anellini,Campi coltivati v anellini
49,49,re;mano;re,MA re mano G U N a re,Marem;magnunare,Marem magnunare
50,50,testa;mento;testa;elle;redi,UN testa mento CON testa TO D elle E redi,Un;testamento;contestato;delle;eredi,Un testamento contestato delle eredi
51,51,larve;somari;ontani,VO larve R somari L ontani,Volar;verso;mari;lontani,Volar verso mari lontani
52,52,amo;sai;rada;nera,F amo sai C O rada nera TA,Famosa;icona;danerata,Famosa icona danerata
53,53,lenti;gin;omar;occhio,lenti G gin O S omar M occhio,Lentigginos;omarmocchio,Lentigginos omarmocchio
54,54,tir;maniche,AR tir O maniche,Arti;romaniche,Arti romaniche
55,55,gracco;anelli;arazzo,S gracco R anelli M B arazzo,Sgracco;rare;imbarazzo,Sgracco rare l'imbarazzo
56,56,ti;tea;bus;cavolo,ti tea bus cavolo,Tite;a;buscavolo,Tite a buscavolo
57,57,pubblico;protagonista,SO pubblico CI protagonista,Sopubblico;ciprotago,Sopubblico ciprotago
58,58,oriente;conca;sega,C oriente I conca sega RI,Corti;con;casegari,Corti con casegari
59,59,pinze;arese;goal,pinze R V arese G goal,Pinzerebbe;goleada,Pinzerebbe goleada
60,60,avo;teca;sebo;are,avo L teca PI T sebo C C are,A;volte;capita;cc;iareare,A volte capita cc iareare
61,61,matassa;serpe,CA matassa serpe SSI,Catastassi;serpe,Catastassi serpe
62,62,unti;rosse;va;zio,S P unti P E rosse R va zio NI,Spunti;per;osservazioni,Spunti per osservazioni
63,63,nero;rigido;ore,GE nero rigido N AT ore,Generosi;dinatorie,Generosi dinatorie
64,64,rande;more;terno,G rande A more E terno,Grande;amore;eterno,Grande amore eterno
65,65,zucche;agrumi,zucche R O agrumi,Zucchero;a;grumi,Zucchero a grumi
66,66,isola;gladiatore;busto,isola gladiatore busto,Isolagla;diatore,Isolagla diatore
67,67,facce;dadi;arba,facce NDA dadi SB arba RE,Faccenda;di;sbarbatere,Faccenda di sbarbatere
68,68,fenolo;etti;teli;alito,fenolo GG etti N teli QU alito SI,Feno;loggettintel;iqualitosi,Feno loggettintel iqualitosi
69,69,nome;tori;schena,U nome T tori DI schena,Un;ometto;rischena,Un ometto rischena
70,70,faretra;arco;dardi,faretra P EL arco dardi A,Fare;pelarchi;dardiana,Fare pelarchi dardiana
71,71,falchi;rovo,V falchi T rovo,Vaffa;lchitrovo,Vaffa lchitrovo
72,72,mida;mazzo,AR mida mazzo NI,Armi;d;amazzone,Armi d'amazzone
73,73,sci;cote;asso,sci O C cote P asso,Sciocco;tepasso,Sciocco tepasso
