,idx,word_guesses,first_pass,solution_words,solution
0,0,,,,
1,1,graffiti;sode;testa,graffiti CLU sode testa TO,Graffiti;testate,Graffiti testate
2,2,pedina;polo;nero;sangue,pedina polo S nero N DI sangue,Pedina;polinesia,Pedina polinesia
3,3,Oman;dardi;autonomi,D Oman dardi P AR autonomi,Domanda;di;partecipazione,Domanda di partecipazione
4,4,stinco;dita,SC stinco dita R A,Stinco;di;ratto,Stinco di ratto
5,5,città;streghe;romanza;eco;cento;tela,città VIO streghe SO R romanza LL eco cento M tela TE,cit;tà;romanz;VIO;LL;eco;cento;tela,cit tà romanz VIO LL eco cento tela
6,6,colt;scarabeo;ami;tostati,PE colt S scarabeo O GN ami GL IO R tostati,Colt;scarabei;a;tostati,Colt scarabei a tostati
7,7,,,,
8,8,pietre;itaca,pietre ND itaca RA,Pietre;natia,Pietre natia
9,9,ricci;petrarca;simpatici,SFR ricci petrarca SC simpatici,Sfruttamento;ricoperto,Sfruttamento ricoperto
10,10,,,,
11,11,stadera;taro;rana;vino,stadera T taro D rana V vino,Stadera;tra;donarana,Stadera tra donarana
12,12,sella;scoscesi;serva,OS sella scoscesi RI serva,Oscena;sella;serva,Oscena sella serva
13,13,tacchi;Roma;dramma,T tacchi Roma DR dramma N O,TACCHI;ROMANO,Tacchi romano
14,14,aceto;rischio,V aceto rischio MBI,Va;co;ris;co,Vacorisco co
15,15,,,,
16,16,gabbie;duca,GE gabbie duca TI,Gabbie;ducale,Gabbie ducale
17,17,campanile;tra;notte,campanile tra notte,Campaniliana;tra,Campaniliana tra
18,18,chef;lacci,BOC chef lacci DE,Bocca;delizia,Bocca delizia
19,19,odi;bovi;asso,PR odi bovi A T asso,Prodi;basso,Prodi basso
20,20,re;re;bus;Cile,C re A re U N bus F A Cile,Cre;a;bus;Cre,Cre a bus Cre
21,21,,,,
22,22,Po;Po;jet;orsi,IL Po PO LA jet AC C orsi,Po;polare;jet;orsi,Po polare jet orsi
23,23,blasoni;star;oli,blasoni NT E star oli NO,Blasoni;e;olinostar,Blasoni e olinostar
24,24,ferrara;disco,CA ferrara disco I,Carro;era;il,Carro era il
25,25,,,,
26,26,rhodos;byron,BO rhodos byron EG,Byron;è;egocentrico,Byron è egocentrico
27,27,avanzi;data;latitudine;citta,SB avanzi data PL latitudine B citta,Sabato;datale,Sabato datale
28,28,rabbia;cactus;primato,G rabbia cactus N C primato,Grancassa;cactus;primaticcio,Grancassa cactus primaticcio
29,29,incudine;orologi,A BI incudine T E orologi,Abitino;teologico,Abitino teologico
30,30,raggi;Attila;Gianni,raggi Attila G Gianni,Raggi;Giani,Raggi Giani
31,31,mori;sette;dita;grafite,BI mori CA sette dita OR grafite,Bimori;Casette;di;dita grafite,Bimori Casette di dita grafite
32,32,star;giovanotto;cento,star R A giovanotto L C cento,Stellare;cento,Stellare cento
33,33,rica;naja;ali,E rica R naja N D ali,Ricana;dalizie,Ricana dalizie
34,34,smunti;coda;plebe,DO smunti coda GLI plebe,Domestici;smunticoda,Domestici smunticoda
35,35,piatti;primo,PO piatti primo P,Pr;imi;atto,Primi patto
36,36,ebreo;cetrioli,CEL ebreo cetrioli ST A,Ebreo;cetrioli,Ebreo cetrioli
37,37,margherine;Lido,margherine V O Lido T I,Margherite;vitiate,Margherite vitiate
38,38,gilet;ore;ali;ante,A gilet ore R O D ali C ante,Aglio;ore;di;anticamera,Aglio ore di' anticamera
39,39,legni;tori,BRA legni RA tori,Bravi;ratatori,Bravi ratatori
40,40,dotta;primule,CON dotta primule NTA,Condotte;primule,Condotte primule
41,41,a;guinzaglio;applausi;tramonto,a guinzaglio applausi F tramonto I,Agli;applausi,Agli applausi
42,42,in;on;voi;tra;porzione,in CI on voi tra O porzione,Inondata;trapianto,Inondata trapianto
43,43,spuma;stumpa;principe;dice;stendardo,spuma stumpa principe dice stendardo,Spumastumpa;principesco,Spumastumpa principesco
44,44,grappa;rami,grappa OB rami E R I,Grappa;rami,Grappa rami
45,45,,,,
46,46,olive;caviglia,L olive caviglia CCA,Lo;livello;acquisito,Lo livello acquisito
47,47,nervi;ottimo;balsamo,F nervi ottimo RO balsamo DO,Nervottimo;balsamico,Nervottimo balsamico
48,48,,,,
49,49,re;mappa,MA re mappa G U N a re,Mare;regnante,Mare regnante
50,50,testa;vecchio;testa;del;lattoni,UN testa vecchio CON testa TO D del E lattoni,Un;testavecchio;testavecchio;del;lattoni,Un testavecchiodellattoni
51,51,,,,
52,52,amo;beni;mare;gialla,F amo beni C O mare gialla TA,Fama;benemerenze;giallastre,Fama benemerenze giallastre
53,53,bacilli;grappa;omayyade;mira,bacilli G grappa O S omayyade M mira,Bacigrappe;omimira,Bacigrappe omimira
54,54,camion;gambe,AR camion O gambe,Camion;gamberi,Camion gamberi
55,55,,,,
56,56,ante;bianca;bus;rapa,ante bianca bus rapa,Ante;bianca;rapa,Antebianca rapa
57,57,spettatore;star,SO spettatore SCI star,Spettatore;star,Spettatore star
58,58,Roma;Imera;raso,C Roma I Imera raso R I,Roma;Imera;rasori,Roma Imera rasori
59,59,forbici;arese;gol,forbici R V arese G gol,Forbicarese;golgol,Forbicarese golgol
60,60,,,,
61,61,,,,
62,62,sporchi;pioggia;re;zio,SP sporchi PE pioggia R re zio NI,Sporco;per;zio,Sporco per zio
63,63,gira;sasso;ore,GE gira sasso N AT ore,Girasole;Girasole,Girasole Girasole
64,64,,,,
65,65,zucche;agrumi,zucche R O agrumi,Zuccherini;sono;grumi,Zuccherini sono grumi
66,66,isola;gladiatore;scoliotto,isola gladiatore scoliotto,Isolato;gladioscolo,Isolato gladioscolo
67,67,abitudini;dadi;barba,abitudini NDA dadi SB barba RE,Abitudinari;da;barbieri,Abitudinari da barbieri
68,68,,,,
69,69,tuta;toro;disperato,U tuta T toro D I disperato,Tutti;i;disordini,Tutti i disordini
70,70,faretra;lancia;saette,faretra P EL lancia saette A,Fale;saettosa,Fale saettosa
71,71,aquile;rovi,V aquile T rovi,Viale;tranquillo,Viale tranquillo
72,72,,,,
73,73,slitta;pietra;largo,slitta O C pietra P largo,Slittopietra;larghe,Slittopietra larghe
74,74,arie;sospiro;tre;Jano,arie T T sospiro tre VI Jano,Arie;trionfali,Arie trionfali
75,75,debito;venti,debito SI E venti,Debitora;sei,Debitora sei
76,76,,,,
77,77,ave;peccatori;divina;sette;gin;piume,ave peccatori divina sette gin piume,Divina;sette;gin,Divina sette gin
78,78,,,,
79,79,Spilli;barili;regine;stormi,Spilli C I S barili R regine R I stormi,Spilliferi;reginastormi,Spilliferi reginastormi
80,80,pino;colt;sue;stigmate;navi;pace,SA pino S colt A sue stigmate IU navi R T U R pace,Sapienza;stigmatizzando;scaltre;Sapienza;su;Sapienza;stanche,Sapienza stigmatizzando scaltre Sapienza su Sapienza stanche
