,idx,word_guesses,first_pass,solution_words,solution
0,0,araba;ile;ape;fari,AND araba S ile ape R A F fari,Andara;b;asileap;era;fari,Andara b asileap era fari
1,1,re;sode;testa,re CLU sode testa TO,Recluso;detestato,Recluso detestato
2,2,fa;sci;moro;sta,fa sci S moro N DI sta,Fascismo;rondista,Fascismo rondista
3,3,Oman;dardi;enti,D Oman dardi P AR enti,Domandar;di;parenti,Domandar di parenti
4,4,arto;dita,SC arto dita R A,Scarto;di;tara,Scarto di tara
5,5,chiesa;fate;ode;eco;sei;para,chiesa VIO fate SO R ode LL eco sei M para TE,Chi;è;savio;fa;tesoro;delle;cose;imparate,Chi è savio fa tesoro delle cose imparate
6,6,colt;ibis;ami;arsi,PE colt S ibis O GN ami GL IO R arsi,Pecc;oltisigno;miglio;rarsissimo,Pecc oltisigno miglio rarsissimo
7,7,van;da;dama;giare;alte;ami,V I van da dama N giare alte G ami N O,Vivan da;da;mangiare;al;tegamino,Vivan da da mangiare al tegamino
8,8,rive;Itaca,rive ND Itaca RA,Rivendita;cara,Rivendita cara
9,9,onda;redi;orsi,SFR onda redi S C orsi,Sfondare;discorsi,Sfondare discorsi
10,10,la;cesti;lato,la N I cesti L lato,L;anice;stillato,L'anice stillato
11,11,con;ratto;ila;oro,con T ratto D ila V oro,Contratto;di;lavoro,Contratto di lavoro
12,12,pedale;di;serva,OS pedale di RI serva,Ospedale;di;Riserva,Ospedale di Riserva
13,13,ore;Roma;ile,T ore Roma DR ile N O,Torero;madrilineo,Torero madrilineo
14,14,oliera;rischio,V oliera rischio MBI,Volieri;arr;i;schiomi,Volieri arr i schiomi
15,15,ami;ciechi,C ami ciechi C,Camicie;chic,Camicie chic
16,16,stie;duca,GE stie duca TI,Gesti;educati,Gesti educati
17,17,Argo;Ra;di,Argo Ra di,Argorad;Iliadi,Argorad Iliadi
18,18,chef;lacci,BOC chef lacci DE,Bocche;flaccide,Bocche flaccide
19,19,odi;avi;ori,PR odi avi A T ori,Prodi;aviatori,Prodi aviatori
20,20,re;re;re;tram;Cile,C re A re UN re tram F A Cile,Creare;un;trame;facile,Creare un trame facile
21,21,ante;edili;tini,V ante R I edili BER tini,Vantieri;di;libertini,Vantieri di libertini
22,22,Po;Po;reattore;orsi,IL Po Po LA reattore AC C orsi,Il;popolare;attore;Accorsi,Il popolare attore Accorsi
23,23,insegna;divi;oli,insegna NT E divi oli N O,Insegnante;di;violino,Insegnante di violino
24,24,otri;lp,CA otri lp I,Caotr;i;lipi,Caotr i lipi
25,25,elmo;odi;di;re,B elmo D odi di re,Bel;modo;di;dire,Bel modo di dire
26,26,Rodi;negri,BO Rodi negri EG,Borodin;e;Grieeg,Borodin e Grieeg
27,27,agli;ode;ora;ile,S B agli ode P L ora B ile,Sbaglio;deploabile,Sbaglio deploabile
28,28,irata;peri;asso,G irata peri N C asso,Girata;per;incasso,Girata per incasso
29,29,lime;orologi,A BI lime T E orologi,Abili;meteorologi,Abili meteorologi
30,30,raggi;un;Ermete,raggi un G Ermete,Raggiunger;mete,Raggiunger mete
31,31,anche;sette;dita;mina,"BI, anche CA, sette dita OR mina",Bianche;casette;di;Taormina,Bianche casette di Taormina
32,32,divo;redo;etti,divo R A redo L C etti,Divorare;dolcetti,Divorare dolcetti
33,33,vita;esca;ali,E vita R esca N D ali,Evitare;scandali,Evitare scandali
34,34,mesti;cane;gente,D O mesti cane G LI gente,Domestica;negligente,Domestica negligente
35,35,camusi;cima,P O camusi cima P,Poca;musica;map,Poca musica map
36,36,ebreo;peri,CEL ebreo peri ST A,Celebre;operista,Celebre operista
37,37,note;lido,note V O lido TI,Notevoli;doti,Notevoli doti
38,38,gilet;ore;ali;ante,A gilet ore R O D ali C ante,Agile;torero;d;Alicante,Agile torero d'Alicante
39,39,viti;tori,BRA viti RA tori,Bravi;tiratori,Bravi tiratori
40,40,dotta;viole,CON dotta viole NTA,Condotta;violenta,Condotta violenta
41,41,in;collare;mani;est,in collare mani F est I,Incollare;manifesti,Incollare manifesti
42,42,in;si;va;per;razione,in CI si va per O razione,Incisiva;perorazione,Incisiva perorazione
43,43,scia;la;re;sol;Goethe,scia la re sol Goethe,Scialare;solgothè,Scialare solgothè
44,44,rum;rami,rum OB rami E R I,Rumob;ramieri,Rumob ramieri
45,45,fra;secondi;versi;ori,fra secondi versi E R R ori,Frase;con;diversi;errori,Frase con diversi errori
46,46,acini;anca,L acini anca CCA,La;cinica;nccaccia,La cinica nccaccia
47,47,ossa;top;fon,F ossa top RO fon DO,Fossato;profondo,Fossato profondo
48,48,Sem;colt;tiara;anelli,Sem PI colt I VA tiara V anelli,Sempic;oltivati;a;ravanelli,Sempic oltivati a ravanelli
49,49,re;ala;are,MA re ala G U N are,Marea;lagunare,Marea lagunare
50,50,testa;mento;testa;agli;redi,UN testa mento CON testa TO D agli E redi,Un;testamento;contestato;dagli;eredi,Un testamento contestato dagli eredi
51,51,larve;somari;ontani,VO larve R somari L ontani,Volar;verso;mari;lontani,Volar verso mari lontani
52,52,amo;sai;nave;nera,F amo sai C O nave nera TA,Famosa;icona;venerata,Famosa icona venerata
53,53,lenti;rum;Omar;occhio,lenti G rum O S Omar M occhio,Lenticrumoso;marmocchio,Lenticrumoso marmocchio
54,54,tir;maniche,AR tir O maniche,Artir;omaniche,Artir omaniche
55,55,cola;anelli;arazzo,S cola R anelli M B arazzo,Scolara;nell;imbarazzo,Scolara nell'imbarazzo
56,56,re;tea;tram;aglio,re tea tram aglio,Retea;t;ramaglio,Retea t ramaglio
57,57,spettatore;divo,SO spettatore CI divo,Sospettato;recidivo,Sospettato recidivo
58,58,est;conca;lama,C est I conca lama RI,Estici;con;calamari,Estici con calamari
59,59,prese;arese;reti,prese R V arese G reti,Preservare;segreti,Preservare segreti
60,60,avo;teca;adipe;are,avo L teca PI T adipe C C are,A;volte;capita;di;peccare,A volte capita di peccare
61,61,lama;rettile,CA lama rettile SSI,Calamaretti;lessi,Calamaretti lessi
62,62,unti;rosse;lui;zio,S P unti P E rosse R lui zio NI,Spunti;per;osserluzioni,Spunti per osserluzioni
63,63,nero;sodo;ore,GE nero sodo N AT ore,Generoso;donatore,Generoso donatore
64,64,rande;more;terno,G rande A more E terno,Grande;amore;eterno,Grande amore eterno
65,65,zucche;agrumi,zucche R O agrumi,Zucchero;a;gromi,Zucchero a gromi
66,66,isola;torero;busto,isola torero busto,Isolatore;robusto,Isolatore robusto
67,67,facce;dadi;riga,facce NDA dadi SB riga RE,Faccenda;da;disbrigare,Faccenda da disbrigare
68,68,para;erme;teli;oro,para GG erme N teli QU oro SI,Parag;gremeteliquor;osiosi,Parag gremeteliquor osiosi
69,69,nome;tori;colo,U nome T tori DI colo,Un;mettore;ridicolo,Un mettore ridicolo
70,70,faretra;arco;dardi,faretra P EL arco dardi A,Fare;trapella;rardia,Fare trapella rardia
71,71,astori;rovo,V astori T rovo,Vasto;ritrovo,Vasto ritrovo
72,72,Mida;mazzo,AR Mida mazzo NI,Armid;a;mazoni,Armid a' mazoni
73,73,sci;cote;olio,sci O C cote P olio,Sciocco;tepolio,Sciocco tepolio
74,74,do;ore;tre;Giano,do T T ore tre VI Giano,Dottore;trevigiano,Dottore trevigiano
75,75,danno;venti,danno SI E venti,Dannosi;eventi,Dannosi eventi
76,76,mira;colo;cono;Talia;nodo,I L mira colo E cono MI COI Talia nodo GGI,Il;miracolo;economico;italiano;d;oggi,Il miracolo economico italiano d'oggi
77,77,ave;rei;dee;ori;gin;ali,ave rei dee ori gin ali,Avere;idee;originali,Avere idee originali
78,78,api;doc;mento,R api doc O M mento,Rapido;commento,Rapido commento
79,79,musi;tini;dame;cani,musi C I S tini R dame R I cani,Musicisti;nordamericani,Musicisti nordamericani
